"","stage","strain","treat","Tray","day","co2_hourly","mass","co2massmin"
"34","L","BE","2","16,23 0208",3,3.27161928600734,0.0799,0.682440401753721
"35","L","BE","2","16,23 0208",3,2.79353275126899,0.0822,0.56640972247952
"36","L","BE","2","16,23 0208",3,3.84599879638912,0.0936,0.684828845510882
"37","L","BE","2","16,23 0208",3,5.11885928571421,0.1109,0.769290544892427
"38","L","BE","2","16,23 0208",3,4.51686041136134,0.0849,0.886702083109804
"39","L","BE","2","16,23 0208",3,3.17129520877425,0.0884,0.597906336495899
"40","L","BE","2","16,23 0208",3,5.1969735719725,0.0862,1.0048286102035
"41","L","BE","2","16,23 0208",3,4.88074359744641,0.0927,0.877515929062642
"42","L","BE","2","16,23 0208",3,2.86298103001107,0.0827,0.576981263605617
"43","L","BE","2","16,23 0208",3,4.36404239867956,0.0981,0.741427522711443
"44","L","BE","2","16,23 0208",3,4.06634086956515,0.0862,0.7862221325532
"45","L","BE","2","16,23 0208",3,4.78696440468909,0.0927,0.860655232774018
"46","L","BE","2","16,23 0208",3,4.89897967325873,0.0939,0.86953845815739
"47","L","BE","2","16,23 0208",3,4.35462160231325,0.0875,0.829451733773952
"48","L","BE","2","16,23 0208",3,4.1658101900117,0.0774,0.897030618004243
"49","L","BE","2","16,23 0208",3,4.8428049096035,0.0977,0.826135262641334
"50","L","BE","2","16,23 0208",3,4.48729109690105,0.0907,0.824566537468036
"51","L","BE","2","16,23 0208",3,4.82824143968864,0.1018,0.790478297264021
"52","L","BE","2","16,23 0208",3,3.95534046437143,0.0848,0.777386097557277
"53","L","BE","2","16,23 0208",3,3.72434030418245,0.0722,0.859727678712476
"54","L","BE","2","16,23 0208",3,0.974408649326214,0.1029,0.157824530179173
